Usage,Limit,MortgageStatus,HistoryStatus,CountStatus,OverdueStatus,Gender_male
1.01,2000,0,1,1,1,1
1.02,2000,0,1,1,1,0
0.98,2000,0,0,1,0,1
0.84,2000,0,1,1,0,1
0.97,2000,0,1,0,0,1
0.02,2000,0,0,1,0,1
1.09,2000,0,1,0,1,1
0,2000,1,0,1,0,1
1.02,2000,0,1,0,1,1
0,2000,0,1,1,0,0
0.69,2000,0,0,1,0,0
0,2000,0,0,0,1,1
1.31,2000,0,1,1,1,1
1.01,2000,0,1,0,1,1
0.74,2000,0,1,1,1,1
1.02,2000,0,0,1,1,0
1.32,2000,0,1,1,1,1
1.1,2000,0,1,0,0,0
0.83,2000,0,0,1,1,1
0.99,2000,0,1,1,1,1
1.41,2000,0,1,1,1,1
0.36,2000,0,0,1,1,1
0.99,2000,0,0,1,1,1
0.47,2000,0,1,1,1,0
1.6,2000,0,1,1,1,1
0.99,2000,0,0,1,0,1
1.02,2000,0,1,1,1,1
0.72,2000,0,1,1,1,1
0.46,2000,0,1,1,1,1
1.01,2000,0,0,1,0,1
0.52,2000,0,1,1,1,1
0.99,2000,0,1,1,1,1
0.12,2000,0,0,1,1,0
1.17,2000,0,0,1,1,0
1,2000,0,1,1,0,1
0.46,2000,0,1,0,1,1
0,2000,1,0,1,1,0
1.53,2000,0,1,1,1,1
0.99,2000,0,0,1,0,0
1,2000,1,1,1,1,0
1.01,2000,1,0,1,1,0
0.99,2000,0,1,1,1,1
1,2000,0,1,1,1,1
0.96,2000,0,0,1,1,1
0.52,2000,0,1,1,1,1
0.89,2000,1,0,1,1,1
1.01,2000,0,1,1,0,1
1.04,2000,0,1,1,1,0
0.9,2000,1,1,1,1,1
1.01,2000,0,1,1,1,0
1.08,2000,0,0,1,1,1
1.01,2000,0,1,1,1,0
1.07,2000,0,1,0,1,0
0.02,2000,0,0,1,0,0
0.9,2000,0,0,1,0,1
1,2000,0,0,1,1,0
1.26,2000,0,1,0,1,1
0.95,2000,0,0,1,1,1
0.93,2000,0,1,0,0,1
0.09,2000,0,0,1,0,1
1.01,2000,0,1,1,1,1
1.02,2000,0,0,1,1,1
1.01,2000,1,0,1,1,1
1.02,2000,0,1,1,1,0
0.96,2000,1,1,0,1,1
1.17,2000,1,1,1,1,0
0.96,2000,0,1,0,1,1
0.73,2000,0,1,1,0,0
0,2000,1,0,1,0,1
0.81,2000,0,1,1,1,1
1.01,2000,0,0,1,1,1
0.15,2000,0,1,1,1,0
0.99,2000,1,0,1,0,1
0.47,2000,0,1,1,1,0
0.83,2000,0,1,1,1,1
0,2000,0,0,1,0,0
1.02,2000,0,1,1,1,1
0.08,2000,0,0,1,1,1
0.08,2000,0,0,1,0,1
0.46,2000,1,0,1,0,1
0.54,2000,0,1,1,1,1
0,2000,0,0,1,1,1
1.04,2000,0,0,1,1,1
0,2000,0,0,1,0,0
1,2000,0,0,1,1,0
0.92,2000,0,1,0,1,1
1.01,2000,0,0,1,1,1
1.01,2000,1,1,1,0,1
0.81,2000,0,1,0,1,1
1,2000,0,1,1,1,0
0.64,2000,0,1,1,0,0
1.01,2000,0,1,0,1,1
1.09,2000,0,0,1,1,1
0,2000,0,0,1,0,0
1.98,2000,1,1,1,0,1
0,2000,0,1,0,1,0
0.89,2000,0,1,1,1,0
0.9,2000,0,1,1,1,1
1.5,2000,0,1,1,1,1
0.95,2000,0,1,0,1,1
0.47,2000,0,0,0,0,1
1.03,2000,0,1,1,1,1
0.99,2000,1,0,1,0,1
1.09,2000,0,0,1,1,1
1.05,2000,0,1,0,0,1
0,2000,0,0,1,0,0
0.99,2000,0,1,1,1,1
0.4,2000,0,1,1,1,1
1,2000,0,0,1,0,1
0.01,2000,0,0,0,0,1
2.39,2000,0,1,1,1,1
0.73,2000,0,1,1,1,1
1.2,2000,0,1,1,1,1
0.99,2000,0,1,1,0,1
1,2000,0,0,1,1,0
0.93,2000,0,0,0,0,1
0.11,2000,0,1,1,1,1
1,2000,0,1,1,1,0
0.78,2000,0,0,1,0,1
1,2000,0,1,1,0,0
1.02,2000,0,1,1,1,1
1,2000,0,1,0,0,1
0.72,2000,0,1,1,0,0
0,2000,0,1,0,1,1
1.03,2000,0,1,1,1,0
1,2000,0,1,0,1,0
0.98,2000,1,1,1,1,1
1.04,2000,0,1,1,1,1
0,2000,0,0,1,1,0
1.02,2000,0,1,1,1,1
0.96,2000,0,1,1,1,1
1,2000,0,0,1,1,1
0.82,2000,0,1,1,0,1
0.33,2000,1,0,0,0,1
0.47,2000,0,0,0,0,0
2,2000,1,0,1,1,1
1.03,2000,0,0,1,1,1
1.02,2000,0,1,0,1,1
0,2000,0,0,1,0,1
0.26,2000,0,0,1,0,1
0.75,2000,0,0,0,0,1
0.99,2000,1,1,1,1,0
0.08,2000,0,1,1,1,1
0.9,2000,0,1,1,1,0
0.23,2000,0,0,0,1,1
0.82,2000,0,1,0,1,0
1.01,2000,0,1,1,1,1
1.02,2000,0,1,1,1,1
0.06,2000,0,1,0,1,0
0.07,2000,1,1,1,0,0
1.02,2000,0,0,1,1,1
1,2000,0,0,0,1,1
1.03,2000,0,1,1,1,0
1.22,2000,0,1,1,0,0
0.12,2000,0,0,0,0,1
1,2000,0,1,1,1,1
0.65,2000,0,1,1,1,1
0.73,2000,0,1,1,1,0
1.11,2000,0,1,1,1,1
1.09,2000,0,0,0,1,1
1.52,2000,0,0,1,1,0
0.94,2000,0,1,1,0,1
1,2000,0,1,1,1,1
1.1,2000,0,1,1,1,1
0.98,2000,0,0,1,1,1
1,2000,0,1,1,1,0
0.87,2000,0,1,1,1,1
0.67,2000,0,1,1,1,1
0.54,2000,0,1,0,1,1
0.08,2000,0,0,1,0,1
1,2000,0,0,1,1,1
0.51,2000,0,1,1,1,1
1.01,2000,0,1,0,1,1
0.45,2000,0,0,0,0,0
0.02,2000,0,0,1,1,1
1.65,2000,0,1,1,1,1
1.01,2000,0,0,1,1,1
1.01,2000,0,1,1,1,1
1.01,2000,0,0,1,0,0
0.99,2000,0,0,1,0,1
1.01,2000,1,1,1,1,1
0.99,2000,1,1,1,1,1
2.07,2000,0,0,1,1,1
1.01,2000,0,0,1,1,1
1,2000,0,1,1,1,0
0.83,2000,0,0,1,1,1
1.02,2000,0,1,1,1,1
0.97,2000,0,0,1,1,1
1,2000,1,1,1,1,1
0.66,2000,0,1,1,1,1
1.62,2000,0,0,1,0,1
1.21,2000,1,0,1,1,1
0.9,2000,0,1,0,1,1
0.2,2000,0,1,1,1,0
0.82,2000,0,1,0,1,1
0.6,2000,0,1,1,1,1
1.03,2000,0,0,1,1,1
1,2000,1,1,1,0,1
0.01,2000,0,1,1,0,0
0.99,2000,0,0,1,1,0
0.83,2000,1,0,1,1,1
0.03,2000,0,1,1,1,0
1,2000,0,1,1,1,1
0.22,2000,0,1,1,1,1
1,2000,0,0,1,0,1
0.12,2000,0,1,0,1,0
0.38,2000,0,1,1,1,1
0.8,2000,0,0,1,1,1
1.01,2000,0,1,1,0,0
1,2000,0,1,1,0,1
2.17,2000,0,1,1,1,1
0.99,2000,0,1,1,1,1
1,2000,0,1,1,1,1
1,2000,0,1,1,1,0
1.06,2000,0,1,1,1,1
1.03,2000,0,1,1,1,1
1,2000,0,1,1,1,1
1.02,2000,0,1,0,0,1
1.01,2000,0,0,1,0,0
1,2000,0,0,1,1,1
0.68,2000,0,1,1,1,1
0.69,2000,0,0,1,1,0
1.02,2000,0,1,1,1,1
0.99,2000,0,1,1,1,1
1.02,2000,0,0,0,0,1
0.13,2000,1,0,1,0,1
0.24,2000,0,0,0,1,1
1.02,2000,0,1,0,1,1
0.18,2000,1,0,0,0,1
1.02,2000,0,1,0,1,0
0.58,2000,0,0,1,1,0
1.01,2000,0,1,1,1,0
1.01,2000,0,1,1,1,0
0.13,2000,0,0,1,0,0
0.84,2000,0,1,1,0,1
0.78,2000,0,0,1,0,1
0.57,2000,0,0,1,0,1
1.51,2000,0,1,1,1,1
0.86,2000,0,1,1,1,1
1.06,2000,0,1,1,1,0
1.05,2000,0,0,1,1,1
0.63,2000,0,0,0,1,1
1.07,2000,0,0,1,1,0
0.6,2000,0,1,1,0,1
0,2000,0,1,0,1,1
0.49,2000,0,1,1,1,1
1.02,2000,0,0,1,1,1
1,2000,0,1,1,1,1
1.01,2000,1,1,1,1,1
1,2000,0,1,1,1,0
0.99,2000,0,0,1,0,1
1.38,2000,1,0,1,1,0
0.96,2000,1,1,1,1,0
0.59,2000,1,0,1,0,1
0.9,2000,0,0,0,1,0
1,2000,0,0,1,0,1
1,2000,0,1,1,1,1
0.87,2000,0,1,1,1,1
1.06,2000,0,0,1,1,1
0.9,2000,0,1,0,1,1
0.02,2000,0,0,0,0,1
0,2000,0,0,0,1,1
0.25,2000,0,0,0,0,1
0.98,2000,0,1,1,1,0
0.42,2000,0,1,0,1,1
1,2000,0,1,1,1,1
1.1,2000,0,0,1,1,0
1.01,2000,0,1,1,1,1
0.71,2000,0,1,0,1,1
0.99,2000,0,0,1,1,1
0.73,2000,0,0,0,0,0
0.99,2000,0,0,0,0,1
1,2000,0,1,1,0,1
0,2000,0,0,1,0,1
0.81,2000,0,1,0,1,1
0.89,2000,0,0,0,0,0
1,2000,0,0,1,1,0
0.99,2000,0,1,1,1,1
1,2000,0,0,1,1,1
0.93,2000,0,0,1,0,1
0.92,2000,0,0,0,0,1
0.99,2000,0,1,1,1,0
0.98,2000,0,1,1,0,1
0.05,2000,0,0,1,0,1
1,2000,0,0,1,0,1
1,2000,0,0,1,0,1
1.04,2000,0,1,1,0,1
0.9,2000,1,0,1,1,0
0.99,2000,1,1,1,0,0
0.7,2000,0,1,1,1,0
1,2000,0,1,1,1,0
0.93,2000,0,0,1,0,1
0.99,2000,0,0,1,0,1
0.94,2000,0,1,0,1,1
0.98,2000,0,1,1,0,1
1,2000,0,0,1,0,0
0.9,2000,0,1,0,1,1
0.99,2000,0,1,0,1,0
1.01,2000,0,1,0,1,1
0.98,2000,0,1,1,1,1
1.99,2000,0,1,1,1,1
0.57,2000,0,1,1,1,1
0,2000,1,0,1,0,0
0.11,2000,0,0,1,1,1
0.6,2000,0,0,1,1,1
1.58,2000,0,1,1,0,0
0.22,2000,0,0,1,0,1
1.3,2000,1,1,1,1,1
0.97,2000,0,1,1,1,0
0,2000,0,1,1,1,1
1.02,2000,0,1,1,1,0
0.07,2000,0,0,1,1,0
0.36,2000,0,1,1,1,1
0.02,2000,0,1,1,1,1
0.02,2000,0,0,1,1,1
0.99,2000,0,1,1,1,0
0.99,2000,1,0,1,1,0
1.23,2000,0,1,1,1,1
1,2000,0,0,1,1,0
0.12,2000,0,0,1,0,1
0.41,2000,1,0,1,0,0
0.53,2000,0,1,1,1,1
1,2000,0,0,1,0,0
0.95,2000,1,0,1,1,1
1,2000,1,0,1,0,1
1.02,2000,0,1,1,1,1
0.68,2000,0,0,0,1,0
0.23,2000,0,0,0,1,1
0.58,2000,0,0,1,1,1
1,2000,0,0,1,1,1
0.69,2000,0,0,1,1,1
0,2000,0,1,1,1,1
1.46,2000,0,0,1,0,1
1.29,2000,0,0,1,1,1
1.08,2000,0,1,1,1,1
1,2000,0,0,1,1,1
0.32,2000,0,1,0,1,1
0.95,2000,0,0,1,0,0
1.1,2000,1,1,1,1,1
0.99,2000,0,0,1,0,0
0.04,2000,0,1,1,1,1
1.01,2000,0,1,1,1,1
1.09,2000,0,1,1,1,1
0,2000,0,1,0,1,1
1.03,2000,0,1,1,1,1
0,2000,0,1,1,1,1
1,2000,0,1,0,1,1
0.67,2000,1,0,1,1,0
0.88,2000,0,1,1,1,1
0,2000,0,0,0,1,1
1.31,2000,0,1,1,1,1
1.01,2000,0,1,1,1,1
1.04,2000,0,1,1,1,0
1,2000,0,0,1,1,1
1.01,2000,1,1,1,0,1
0.86,2000,0,0,1,1,0
1.04,2000,0,1,1,1,1
0.2,2000,0,0,1,1,1
0.07,2000,0,1,1,1,0
0.97,2000,0,1,1,1,1
0.03,2000,0,0,1,1,0
0.67,2000,0,0,0,0,1
0.37,2000,0,0,1,0,1
1,2000,0,0,0,1,1
0.47,2000,0,0,1,1,1
0.06,2000,0,0,1,1,1
0.22,2000,0,1,1,1,1
0.08,2000,0,0,1,1,0
0,2000,0,0,0,1,1
0.07,2000,0,1,1,0,0
1.02,2000,0,0,1,1,1
0.34,2000,0,0,1,0,1
1,2000,0,1,1,1,1
1.03,2000,0,1,1,1,1
0.78,2000,1,0,1,1,1
1.18,2000,0,0,1,0,1
1,2000,0,1,1,0,1
1.04,2000,0,1,1,1,1
0.8,2000,0,1,0,1,0
1.02,2000,0,1,1,1,1
0.01,2000,0,1,0,1,1
0.99,2000,0,1,1,1,1
0.3,2000,0,1,0,1,1
1.03,2000,0,1,1,1,1
0.93,2000,0,1,0,0,0
1.03,2000,0,1,1,1,1
0.37,2000,0,0,1,0,0
1.05,2000,1,0,1,1,1
0.33,2000,0,1,1,1,1
0.99,2000,0,1,0,1,1
0.94,2000,0,1,1,1,0
0,2000,0,0,1,1,1
1.02,2000,0,1,1,1,0
1.05,2000,0,0,1,0,1
0,2000,0,0,0,1,0
0.86,2000,0,1,1,1,0
1.1,2000,0,0,1,1,1
0.02,2000,0,0,1,0,0
1.01,2000,0,1,1,1,0
1.47,2000,0,1,0,1,0
0.99,2000,0,1,1,1,0
0.75,2000,0,0,1,0,1
0.57,2000,0,1,0,1,0
0.2,2000,0,1,0,1,0
0.53,2000,0,1,1,1,1
0.73,2000,0,1,1,1,1
0.83,2000,0,1,1,1,1
1,2000,0,1,1,1,1
0.99,2000,0,0,0,1,1
0,2000,0,1,1,0,1
1,2000,0,0,1,1,1
0.92,2000,0,0,1,1,1
0.93,2000,0,1,1,1,0
1.1,2000,0,1,1,1,1
0.98,2000,1,1,1,1,1
0,2000,0,1,0,1,1
1,2000,0,1,1,1,0
1.05,2000,0,1,0,1,1
0.45,2000,0,1,1,1,0
0.03,2000,0,1,0,1,1
0.04,2000,0,1,1,1,1
0.02,2000,0,1,1,1,0
1,2000,0,1,1,1,0
1.04,2000,0,1,1,1,1
0.9,2000,0,1,0,1,1
1.01,2000,0,1,0,1,1
0.96,2000,0,1,0,1,0
1.51,2000,0,1,1,1,1
1.12,2000,0,1,1,1,0
1.01,2000,0,1,1,1,0
1.01,2000,0,1,1,1,0
1.12,2000,0,0,1,1,1
0.35,2000,0,1,0,1,0
0.15,2000,0,0,1,0,1
0.74,2000,0,0,1,0,1
0.94,2000,0,1,0,1,1
1.02,2000,0,0,0,1,1
0.08,2000,0,1,1,1,0
1.4,2000,0,1,1,1,0
0.98,2000,0,0,1,1,1
0.99,2000,1,0,1,0,1
0.56,2000,0,1,1,1,1
1.2,2000,0,0,1,1,1
0.57,2000,0,1,1,1,1
0,2000,0,0,0,1,1
0.55,2000,0,1,1,0,1
1,2000,0,0,1,0,1
1.02,2000,0,1,1,1,1
0.99,2000,1,0,1,1,1
1.02,2000,0,1,1,0,0
0,2000,0,0,0,0,1
0.98,2000,0,1,0,1,0
1,2000,0,0,1,0,0
1.01,2000,0,1,1,1,1
0.87,2000,0,0,1,1,1
0.79,2000,0,1,1,1,0
1.01,2000,0,0,0,1,1
0.5,2000,0,1,0,1,1
0.88,2000,0,0,1,0,1
0.7,2000,0,0,1,0,1
0.5,2000,0,1,0,1,1
0.86,2000,0,1,0,0,0
1.01,2000,0,0,1,1,0
1.04,2000,0,0,1,1,1
1.01,2000,0,0,1,0,0
0,2000,0,0,1,0,0
0.97,2000,0,0,1,0,1
1.01,2000,0,1,1,0,1
0,2000,0,1,0,1,1
0.99,2000,0,1,1,1,0
0.16,2000,0,1,1,1,1
0.28,2000,0,1,1,1,1
0.95,2000,0,1,1,1,1
1,2000,0,1,1,1,1
1.01,2000,0,1,1,1,0
0.98,2000,0,0,0,1,1
1.04,2000,0,0,1,0,0
0,2000,0,0,0,0,1
0.99,2000,0,1,1,1,0
1,2000,0,0,1,1,1
1.01,2000,0,1,1,1,1
1.01,2000,0,1,0,0,0
1,2000,0,1,1,0,1
0.99,2000,0,0,1,0,1
1.13,2000,1,1,1,1,0
0.98,2000,0,1,1,1,1
1,2000,0,1,1,1,1
0,2000,0,0,1,0,1
1.1,2000,0,0,1,1,1
1.97,2000,0,1,1,1,1
0.9,2000,0,0,0,0,1
0.38,2000,0,1,1,1,1
1.02,2000,0,1,1,1,1
1.02,2000,0,1,1,1,1
0.23,2000,0,1,1,1,1
1.09,2000,0,1,1,1,1
0.15,2000,0,1,1,1,1
1.27,2000,0,1,1,1,1
1.01,2000,0,0,1,1,0
1.01,2000,0,0,1,0,1
